node_id,feat
1,"1.0,0.0"
7843,"1.0,0.0"
11537,"1.0,0.0"
37157,"1.0,0.0"
50377,"1.0,0.0"
51728,"1.0,0.0"
264914,"1.0,0.0"
271424,"1.0,0.0"
7046,"1.0,0.0"
12345,"1.0,0.0"
29132,"1.0,0.0"
48940,"1.0,0.0"
52698,"1.0,0.0"
267344,"1.0,0.0"
268042,"1.0,0.0"
269006,"1.0,0.0"
270350,"1.0,0.0"
271650,"1.0,0.0"
286,"1.0,0.0"
600,"1.0,0.0"
701,"1.0,0.0"
812,"1.0,0.0"
852,"1.0,0.0"
1273,"1.0,0.0"
1280,"1.0,0.0"
1299,"1.0,0.0"
2152,"1.0,0.0"
2381,"1.0,0.0"
2516,"1.0,0.0"
2906,"1.0,0.0"
3257,"1.0,0.0"
3292,"1.0,0.0"
3300,"1.0,0.0"
3356,"1.0,0.0"
3491,"1.0,0.0"
4134,"1.0,0.0"
4766,"1.0,0.0"
5645,"1.0,0.0"
6128,"1.0,0.0"
6453,"1.0,0.0"
6461,"1.0,0.0"
6830,"1.0,0.0"
6919,"1.0,0.0"
6939,"1.0,0.0"
7018,"1.0,0.0"
7029,"1.0,0.0"
7270,"1.0,0.0"
7473,"1.0,0.0"
7738,"1.0,0.0"
3456,"1.0,0.0"
4544,"1.0,0.0"
7224,"1.0,0.0"
7922,"1.0,0.0"
8220,"1.0,0.0"
9304,"1.0,0.0"
10796,"1.0,0.0"
10934,"1.0,0.0"
11096,"1.0,0.0"
11164,"1.0,0.0"
11351,"1.0,0.0"
11426,"1.0,0.0"
11427,"1.0,0.0"
12271,"1.0,0.0"
12322,"1.0,0.0"
12956,"1.0,0.0"
14135,"1.0,0.0"
14907,"1.0,0.0"
15113,"1.0,0.0"
16787,"1.0,0.0"
19108,"1.0,0.0"
19151,"1.0,0.0"
19397,"1.0,0.0"
20001,"1.0,0.0"
20940,"1.0,0.0"
21808,"1.0,0.0"
21859,"1.0,0.0"
21928,"1.0,0.0"
22870,"1.0,0.0"
23274,"1.0,0.0"
23367,"1.0,0.0"
23746,"1.0,0.0"
25885,"1.0,0.0"
26660,"1.0,0.0"
30081,"1.0,0.0"
33363,"1.0,0.0"
33588,"1.0,0.0"
36329,"1.0,0.0"
36351,"1.0,0.0"
40160,"1.0,0.0"
40294,"1.0,0.0"
47009,"1.0,0.0"
52320,"1.0,0.0"
60068,"1.0,0.0"
62566,"1.0,0.0"
199524,"1.0,0.0"
262287,"1.0,0.0"
395120,"1.0,0.0"
20115,"1.0,0.0"
24,"1.0,0.0"
46,"1.0,0.0"
55,"1.0,0.0"
59,"1.0,0.0"
160,"1.0,0.0"
210,"1.0,0.0"
297,"1.0,0.0"
513,"1.0,0.0"
557,"1.0,0.0"
668,"1.0,0.0"
1103,"1.0,0.0"
1224,"1.0,0.0"
1916,"1.0,0.0"
2018,"1.0,0.0"
2495,"1.0,0.0"
2534,"1.0,0.0"
2698,"1.0,0.0"
3676,"1.0,0.0"
3807,"1.0,0.0"
3851,"1.0,0.0"
3999,"1.0,0.0"
4130,"1.0,0.0"
5050,"1.0,0.0"
5078,"1.0,0.0"
6509,"1.0,0.0"
6879,"1.0,0.0"
7160,"1.0,0.0"
7497,"1.0,0.0"
7660,"1.0,0.0"
9885,"1.0,0.0"
10755,"1.0,0.0"
38,"1.0,0.0"
57,"1.0,0.0"
81,"1.0,0.0"
101,"1.0,0.0"
237,"1.0,0.0"
293,"1.0,0.0"
1351,"1.0,0.0"
1842,"1.0,0.0"
2153,"1.0,0.0"
2572,"1.0,0.0"
2603,"1.0,0.0"
2721,"1.0,0.0"
2722,"1.0,0.0"
2907,"1.0,0.0"
3112,"1.0,0.0"
3128,"1.0,0.0"
3754,"1.0,0.0"
4600,"1.0,0.0"
4901,"1.0,0.0"
6360,"1.0,0.0"
7539,"1.0,0.0"
7575,"1.0,0.0"
7896,"1.0,0.0"
8895,"1.0,0.0"
10437,"1.0,0.0"
10466,"1.0,0.0"
10490,"1.0,0.0"
10578,"1.0,0.0"
10764,"1.0,0.0"
10886,"1.0,0.0"
11317,"1.0,0.0"
14041,"1.0,0.0"
14048,"1.0,0.0"
14325,"1.0,0.0"
14877,"1.0,0.0"
16509,"1.0,0.0"
16839,"1.0,0.0"
16905,"1.0,0.0"
17579,"1.0,0.0"
17934,"1.0,0.0"
18592,"1.0,0.0"
19679,"1.0,0.0"
19782,"1.0,0.0"
20080,"1.0,0.0"
20965,"1.0,0.0"
21976,"1.0,0.0"
22335,"1.0,0.0"
22388,"1.0,0.0"
22556,"1.0,0.0"
22742,"1.0,0.0"
23864,"1.0,0.0"
23911,"1.0,0.0"
24167,"1.0,0.0"
25829,"1.0,0.0"
25969,"1.0,0.0"
27405,"1.0,0.0"
27750,"1.0,0.0"
28569,"1.0,0.0"
29384,"1.0,0.0"
30103,"1.0,0.0"
32440,"1.0,0.0"
33189,"1.0,0.0"
34945,"1.0,0.0"
36375,"1.0,0.0"
36412,"1.0,0.0"
36944,"1.0,0.0"
38022,"1.0,0.0"
40220,"1.0,0.0"
40387,"1.0,0.0"
40498,"1.0,0.0"
40581,"1.0,0.0"
46435,"1.0,0.0"
46832,"1.0,0.0"
47862,"1.0,0.0"
61468,"1.0,0.0"
62532,"1.0,0.0"
62600,"1.0,0.0"
62715,"1.0,0.0"
64247,"1.0,0.0"
393689,"1.0,0.0"
394088,"1.0,0.0"
396390,"1.0,0.0"
396926,"1.0,0.0"
396955,"1.0,0.0"
396961,"1.0,0.0"
1828,"1.0,0.0"
16552,"1.0,0.0"
32653,"1.0,0.0"
37239,"1.0,0.0"
37468,"1.0,0.0"
37497,"1.0,0.0"
37640,"1.0,0.0"
37680,"1.0,0.0"
37721,"1.0,0.0"
57695,"1.0,0.0"
327960,"1.0,0.0"
327983,"1.0,0.0"
328137,"1.0,0.0"
328266,"1.0,0.0"
328320,"1.0,0.0"
328512,"1.0,0.0"
327782,"1.0,0.0"
174,"1.0,0.0"
12552,"1.0,0.0"
1759,"1.0,0.0"
47605,"1.0,0.0"
22381,"1.0,0.0"
1239,"1.0,0.0"
702,"1.0,0.0"
10912,"1.0,0.0"
32663,"1.0,0.0"
1321,"1.0,0.0"
7014,"1.0,0.0"
21,"1.0,0.0"
2020,"1.0,0.0"
11360,"1.0,0.0"
14301,"1.0,0.0"
14499,"1.0,0.0"
17161,"1.0,0.0"
21650,"1.0,0.0"
32376,"1.0,0.0"
53373,"1.0,0.0"
63302,"1.0,0.0"
14551,"1.0,0.0"
397523,"1.0,0.0"
28716,"1.0,0.0"
46719,"1.0,0.0"
3303,"1.0,0.0"
7713,"1.0,0.0"
8492,"1.0,0.0"
8966,"1.0,0.0"
18106,"1.0,0.0"
20764,"1.0,0.0"
24482,"1.0,0.0"
25091,"1.0,0.0"
31133,"1.0,0.0"
35598,"1.0,0.0"
39351,"1.0,0.0"
41327,"1.0,0.0"
41805,"1.0,0.0"
42473,"1.0,0.0"
48166,"1.0,0.0"
48919,"1.0,0.0"
60501,"1.0,0.0"
137409,"1.0,0.0"
207740,"1.0,0.0"
112,"1.0,0.0"
1547,"1.0,0.0"
2683,"1.0,0.0"
2854,"1.0,0.0"
2895,"1.0,0.0"
3218,"1.0,0.0"
3267,"1.0,0.0"
3316,"1.0,0.0"
3327,"1.0,0.0"
5429,"1.0,0.0"
5431,"1.0,0.0"
5467,"1.0,0.0"
5495,"1.0,0.0"
5518,"1.0,0.0"
5523,"1.0,0.0"
5568,"1.0,0.0"
6697,"1.0,0.0"
6820,"1.0,0.0"
6856,"1.0,0.0"
6866,"1.0,0.0"
8241,"1.0,0.0"
8242,"1.0,0.0"
8331,"1.0,0.0"
8369,"1.0,0.0"
8400,"1.0,0.0"
8410,"1.0,0.0"
8449,"1.0,0.0"
8515,"1.0,0.0"
8629,"1.0,0.0"
8636,"1.0,0.0"
8641,"1.0,0.0"
8752,"1.0,0.0"
8764,"1.0,0.0"
8932,"1.0,0.0"
8985,"1.0,0.0"
9031,"1.0,0.0"
9032,"1.0,0.0"
9039,"1.0,0.0"
9049,"1.0,0.0"
9110,"1.0,0.0"
9198,"1.0,0.0"
9206,"1.0,0.0"
9269,"1.0,0.0"
10122,"1.0,0.0"
11284,"1.0,0.0"
12297,"1.0,0.0"
12335,"1.0,0.0"
12389,"1.0,0.0"
12418,"1.0,0.0"
12578,"1.0,0.0"
12668,"1.0,0.0"
12695,"1.0,0.0"
12714,"1.0,0.0"
12741,"1.0,0.0"
12993,"1.0,0.0"
13002,"1.0,0.0"
13094,"1.0,0.0"
13238,"1.0,0.0"
15169,"1.0,0.0"
15599,"1.0,0.0"
15632,"1.0,0.0"
15672,"1.0,0.0"
15682,"1.0,0.0"
15754,"1.0,0.0"
15757,"1.0,0.0"
15930,"1.0,0.0"
16143,"1.0,0.0"
16276,"1.0,0.0"
20483,"1.0,0.0"
20655,"1.0,0.0"
20985,"1.0,0.0"
21030,"1.0,0.0"
21367,"1.0,0.0"
21416,"1.0,0.0"
21446,"1.0,0.0"
21453,"1.0,0.0"
24429,"1.0,0.0"
24638,"1.0,0.0"
24663,"1.0,0.0"
24689,"1.0,0.0"
24739,"1.0,0.0"
24936,"1.0,0.0"
25189,"1.0,0.0"
25292,"1.0,0.0"
25355,"1.0,0.0"
25371,"1.0,0.0"
25408,"1.0,0.0"
25451,"1.0,0.0"
25532,"1.0,0.0"
25549,"1.0,0.0"
26415,"1.0,0.0"
28748,"1.0,0.0"
28761,"1.0,0.0"
28891,"1.0,0.0"
28917,"1.0,0.0"
28968,"1.0,0.0"
29124,"1.0,0.0"
29182,"1.0,0.0"
29226,"1.0,0.0"
29319,"1.0,0.0"
29329,"1.0,0.0"
29388,"1.0,0.0"
29470,"1.0,0.0"
29479,"1.0,0.0"
30124,"1.0,0.0"
30833,"1.0,0.0"
30968,"1.0,0.0"
31059,"1.0,0.0"
31214,"1.0,0.0"
31294,"1.0,0.0"
31370,"1.0,0.0"
31430,"1.0,0.0"
31499,"1.0,0.0"
31500,"1.0,0.0"
31514,"1.0,0.0"
31529,"1.0,0.0"
32590,"1.0,0.0"
34102,"1.0,0.0"
34123,"1.0,0.0"
34139,"1.0,0.0"
34352,"1.0,0.0"
34456,"1.0,0.0"
34602,"1.0,0.0"
34879,"1.0,0.0"
35000,"1.0,0.0"
35032,"1.0,0.0"
35087,"1.0,0.0"
35168,"1.0,0.0"
35237,"1.0,0.0"
35271,"1.0,0.0"
35522,"1.0,0.0"
35539,"1.0,0.0"
35723,"1.0,0.0"
35768,"1.0,0.0"
35770,"1.0,0.0"
35807,"1.0,0.0"
35810,"1.0,0.0"
36236,"1.0,0.0"
38040,"1.0,0.0"
39045,"1.0,0.0"
39063,"1.0,0.0"
39087,"1.0,0.0"
39134,"1.0,0.0"
39153,"1.0,0.0"
39337,"1.0,0.0"
39360,"1.0,0.0"
39442,"1.0,0.0"
39684,"1.0,0.0"
39709,"1.0,0.0"
39821,"1.0,0.0"
40676,"1.0,0.0"
41082,"1.0,0.0"
41268,"1.0,0.0"
41275,"1.0,0.0"
41446,"1.0,0.0"
41475,"1.0,0.0"
41601,"1.0,0.0"
41617,"1.0,0.0"
41722,"1.0,0.0"
41750,"1.0,0.0"
41798,"1.0,0.0"
41802,"1.0,0.0"
42291,"1.0,0.0"
42377,"1.0,0.0"
42498,"1.0,0.0"
42511,"1.0,0.0"
42518,"1.0,0.0"
42574,"1.0,0.0"
42632,"1.0,0.0"
42861,"1.0,0.0"
42893,"1.0,0.0"
42909,"1.0,0.0"
43045,"1.0,0.0"
43201,"1.0,0.0"
43226,"1.0,0.0"
43267,"1.0,0.0"
43399,"1.0,0.0"
43404,"1.0,0.0"
43530,"1.0,0.0"
43598,"1.0,0.0"
43714,"1.0,0.0"
43727,"1.0,0.0"
43798,"1.0,0.0"
43832,"1.0,0.0"
43973,"1.0,0.0"
44020,"1.0,0.0"
44030,"1.0,0.0"
44096,"1.0,0.0"
44128,"1.0,0.0"
44347,"1.0,0.0"
44386,"1.0,0.0"
44391,"1.0,0.0"
44479,"1.0,0.0"
44670,"1.0,0.0"
44772,"1.0,0.0"
44843,"1.0,0.0"
44927,"1.0,0.0"
44943,"1.0,0.0"
44964,"1.0,0.0"
45102,"1.0,0.0"
46489,"1.0,0.0"
47104,"1.0,0.0"
47156,"1.0,0.0"
47211,"1.0,0.0"
47321,"1.0,0.0"
47333,"1.0,0.0"
47440,"1.0,0.0"
47441,"1.0,0.0"
47478,"1.0,0.0"
47531,"1.0,0.0"
47541,"1.0,0.0"
47542,"1.0,0.0"
47562,"1.0,0.0"
47569,"1.0,0.0"
47626,"1.0,0.0"
47645,"1.0,0.0"
47652,"1.0,0.0"
47655,"1.0,0.0"
47764,"1.0,0.0"
47775,"1.0,0.0"
47989,"1.0,0.0"
48061,"1.0,0.0"
48128,"1.0,0.0"
48249,"1.0,0.0"
48276,"1.0,0.0"
48282,"1.0,0.0"
48293,"1.0,0.0"
48349,"1.0,0.0"
48366,"1.0,0.0"
48399,"1.0,0.0"
48524,"1.0,0.0"
48614,"1.0,0.0"
48719,"1.0,0.0"
48739,"1.0,0.0"
48822,"1.0,0.0"
48848,"1.0,0.0"
48914,"1.0,0.0"
15830,"1.0,0.0"
