,src_id,dst_id
0,1,7843
17,7843,286
19,7843,701
21,7843,852
22,7843,1273
23,7843,1280
24,7843,1299
27,7843,2516
29,7843,3257
30,7843,3292
32,7843,3356
33,7843,3491
34,7843,4134
35,7843,4766
36,7843,5645
37,7843,6128
38,7843,6453
39,7843,6461
40,7843,6830
42,7843,6939
43,7843,7018
44,7843,7029
46,7843,7473
47,7843,7738
51,7843,7922
53,7843,8220
54,7843,9304
55,7843,10796
58,7843,11096
59,7843,11164
62,7843,11427
66,7843,12956
74,7843,19151
76,7843,20001
77,7843,20940
79,7843,21859
91,7843,36351
95,7843,52320
96,7843,60068
102,7843,20115
113,11537,1103
115,11537,1916
131,11537,7660
132,11537,9885
139,11537,293
145,11537,2603
162,11537,10578
165,11537,11096
174,11537,17579
179,11537,20080
180,11537,20965
185,11537,22742
192,11537,27750
201,11537,36944
210,11537,61468
222,37157,4134
223,37157,6939
227,37157,37468
228,37157,37497
231,37157,37721
241,50377,174
242,50377,12552
245,51728,1759
251,2,24556
268,21954,7018
269,21954,33667
270,24556,58682
272,43260,9121
273,43260,15924
274,43260,29262
276,43260,34984
294,3,293
295,3,6939
296,3,174
298,3,3356
299,3,7015
300,3,10578
302,3,21183
304,3,32787
306,3,48728
318,293,42
339,293,714
342,293,1103
344,293,1273
350,293,2497
351,293,2516
353,293,2603
356,293,2828
359,293,2914
363,293,3292
364,293,3320
371,293,3491
380,293,4258
381,293,4788
386,293,6079
387,293,6128
391,293,6391
393,293,6453
394,293,6461
397,293,6621
403,293,7713
408,293,8075
410,293,8359
412,293,8657
413,293,8674
415,293,9002
418,293,10310
420,293,10578
426,293,11096
429,293,11404
432,293,11796
435,293,12189
436,293,12200
437,293,12956
439,293,13335
443,293,13768
450,293,15169
452,293,15695
453,293,16164
460,293,16735
462,293,17579
466,293,18106
473,293,19151
475,293,19551
481,293,20080
482,293,20115
484,293,20940
485,293,20965
488,293,21859
496,293,22822
498,293,23033
503,293,24482
510,293,27750
511,293,29791
512,293,29838
519,293,32097
524,293,32934
528,293,33438
530,293,36149
531,293,36236
533,293,36351
541,293,39386
542,293,40065
547,293,40861
550,293,45147
554,293,46562
558,293,49544
560,293,50245
571,293,60068
575,293,63023
580,293,64313
598,293,3356
599,293,6939
600,6939,42
602,6939,62
608,6939,260
615,6939,577
618,6939,701
619,6939,702
620,6939,703
621,6939,714
625,6939,852
631,6939,1103
634,6939,1136
637,6939,1239
640,6939,1257
641,6939,1267
642,6939,1299
648,6939,1680
650,6939,1764
653,6939,1820
656,6939,1836
659,6939,1916
661,6939,1930
671,6939,2119
677,6939,2486
678,6939,2497
681,6939,2516
682,6939,2518
694,6939,2603
695,6939,2607
700,6939,2647
703,6939,2686
704,6939,2687
707,6939,2764
709,6939,2828
711,6939,2852
724,6939,3209
727,6939,3216
729,6939,3223
730,6939,3225
738,6939,3252
739,6939,3257
742,6939,3267
745,6939,3292
747,6939,3302
749,6939,3320
751,6939,3326
752,6939,3327
758,6939,3356
759,6939,3361
761,6939,3462
763,6939,3491
772,6939,3741
774,6939,3786
785,6939,4134
789,6939,4230
790,6939,4258
794,6939,4515
798,6939,4628
799,6939,4637
802,6939,4648
809,6939,4694
817,6939,4780
820,6939,4837
822,6939,4844
825,6939,4862
826,6939,4922
838,6939,5400
844,6939,5416
847,6939,5430
849,6939,5432
856,6939,5483
861,6939,5511
866,6939,5539
870,6939,5578
875,6939,5603
876,6939,5605
881,6939,5645
887,6939,5713
890,6939,6079
894,6939,6128
898,6939,6327
901,6939,6391
904,6939,6412
907,6939,6461
908,6939,6505
913,6939,6660
914,6939,6663
921,6939,6697
927,6939,6730
931,6939,6762
935,6939,6774
943,6939,6830
946,6939,6848
951,6939,6866
976,6939,1273
977,6939,1280
981,6939,1853
996,6939,3303
1021,6939,4538
1024,6939,4651
1025,6939,4657
1029,6939,4764
1030,6939,4766
1031,6939,4775
1032,6939,4788
1034,6939,4809
1035,6939,4817
1036,6939,4826
1043,6939,5391
1062,6939,6621
1064,6939,6648
1066,6939,6661
1073,6939,7018
1075,6939,7029
1079,6939,7049
1085,6939,7162
1086,6939,7195
1096,6939,7473
1112,6939,7545
1113,6939,7552
1114,6939,7568
1119,6939,7600
1125,6939,7642
1126,6939,7660
1132,6939,7671
1138,6939,7713
1139,6939,7738
1149,6939,7819
1154,6939,7908
1155,6939,7922
1158,6939,7992
1168,6939,8075
1170,6939,8100
1174,6939,8151
1178,6939,8218
1179,6939,8220
1187,6939,8262
1211,6939,8359
1215,6939,8368
1223,6939,8400
1228,6939,8426
1232,6939,8447
1234,6939,8449
1235,6939,8452
1237,6939,8455
1239,6939,8468
1242,6939,8473
1247,6939,8529
1251,6939,8544
1252,6939,8551
1257,6939,8595
1259,6939,8607
1261,6939,8612
1271,6939,8657
1274,6939,8674
1277,6939,8681
1280,6939,8708
1284,6939,8732
1290,6939,8758
1291,6939,8763
1292,6939,8764
1293,6939,8767
1294,6939,8778
1295,6939,8781
1296,6939,8784
1319,6939,8881
1329,6939,8926
1330,6939,8932
1331,6939,8943
1332,6939,8953
1333,6939,8966
1336,6939,8985
1339,6939,9002
1340,6939,9008
1341,6939,9009
1348,6939,9038
1350,6939,9044
1351,6939,9049
1353,6939,9063
1363,6939,9116
1366,6939,9121
1371,6939,9145
1385,6939,9241
1393,6939,9268
1396,6939,9293
1398,6939,9299
1400,6939,9304
1401,6939,9312
1403,6939,9318
1413,6939,9381
1416,6939,9498
1418,6939,9505
1421,6939,9534
1424,6939,9558
1425,6939,9583
1439,6939,9680
1440,6939,9723
1448,6939,9848
1453,6939,9902
1456,6939,9924
1459,6939,9929
1460,6939,9930
1462,6939,9957
1477,6939,10036
1478,6939,10075
1480,6939,10089
1483,6939,10099
1491,6939,10135
1492,6939,10158
1493,6939,10204
1499,6939,10282
1501,6939,10310
1511,6939,10578
1518,6939,10835
1531,6939,11014
1546,6939,11096
1552,6939,11164
1577,6939,11403
1578,6939,11404
1579,6939,11432
1610,6939,11796
1617,6939,11845
1641,6939,12129
1647,6939,12189
1648,6939,12200
1660,6939,12297
1661,6939,12301
1662,6939,12303
1663,6939,12305
1664,6939,12306
1675,6939,12353
1680,6939,12389
1681,6939,12390
1687,6939,12430
1696,6939,12491
1705,6939,12552
1707,6939,12555
1708,6939,12570
1712,6939,12578
