,ASN,AS_rank_numberAsns,AS_rank_numberPrefixes,AS_rank_numberAddresses,AS_rank_total,AS_rank_customer,AS_rank_peer,AS_rank_provider,peeringDB_ix_count,peeringDB_fac_count,AS_hegemony,cti_top,cti_origin,AS_rank_continent_Africa,AS_rank_continent_Asia,AS_rank_continent_Europe,AS_rank_continent_None,AS_rank_continent_North America,AS_rank_continent_Oceania,AS_rank_continent_South America,peeringDB_info_ratio_Balanced,peeringDB_info_ratio_Heavy Inbound,peeringDB_info_ratio_Heavy Outbound,peeringDB_info_ratio_Mostly Inbound,peeringDB_info_ratio_Mostly Outbound,peeringDB_info_ratio_None,peeringDB_info_ratio_Not Disclosed,peeringDB_info_scope_Africa,peeringDB_info_scope_Asia Pacific,peeringDB_info_scope_Australia,peeringDB_info_scope_Europe,peeringDB_info_scope_Global,peeringDB_info_scope_Middle East,peeringDB_info_scope_None,peeringDB_info_scope_North America,peeringDB_info_scope_Not Disclosed,peeringDB_info_scope_Regional,peeringDB_info_scope_South America,peeringDB_info_type_Cable/DSL/ISP,peeringDB_info_type_Content,peeringDB_info_type_Educational/Research,peeringDB_info_type_Enterprise,peeringDB_info_type_Government,peeringDB_info_type_NSP,peeringDB_info_type_Network Services,peeringDB_info_type_Non-Profit,peeringDB_info_type_None,peeringDB_info_type_Not Disclosed,peeringDB_info_type_Route Collector,peeringDB_info_type_Route Server,peeringDB_policy_general_No,peeringDB_policy_general_None,peeringDB_policy_general_Open,peeringDB_policy_general_Restrictive,peeringDB_policy_general_Selective,"ASDB_C1L1_Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)",ASDB_C1L1_Community Groups and Nonprofits,ASDB_C1L1_Computer and Information Technology,ASDB_C1L1_Construction and Real Estate,ASDB_C1L1_Education and Research,ASDB_C1L1_Finance and Insurance,"ASDB_C1L1_Freight, Shipment, and Postal Services",ASDB_C1L1_Government and Public Administration,ASDB_C1L1_Health Care Services,ASDB_C1L1_Manufacturing,"ASDB_C1L1_Media, Publishing, and Broadcasting","ASDB_C1L1_Museums, Libraries, and Entertainment",ASDB_C1L1_None,ASDB_C1L1_Other,"ASDB_C1L1_Retail Stores, Wholesale, and E-commerce Sites",ASDB_C1L1_Service,ASDB_C1L1_Travel and Accommodation,ASDB_C1L1_Utilities (Excluding Internet Service)
3,3,0.0,0.3673074446021527,0.6768350748680171,0.346794376209784,0.0,0.1230948841104959,0.6311032168486392,0.0,0.1653268997685129,0.0032016301062208,0.0049005296742711,0.0384286589084078,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0,0.2817367005719014,0.5165890933653325,0.2616622120763312,0.0,0.0,0.4895822180264866,0.0,0.0,0.0001051830430273,7.298661216999624e-05,0.0012444706034774,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,42,0.1773641022395865,0.4062443699087508,0.5458674852167282,0.6367039886294934,0.2502396851370587,0.6487406736593454,0.4245629964664579,0.9550368070953964,0.5946109295890312,0.0001048777010836,7.298661216999624e-05,8.388213144220615e-06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,62,0.3966810640492254,0.555858033254742,0.6976302100358599,0.5224188453616653,0.5332431905829116,0.2461897682209919,0.3286015831816775,0.316206238578358,0.3608521363819283,0.0017214324257642,6.255995328856821e-05,0.0026342150573533,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,174,0.9596522756417414,0.9836659890371264,0.9791319847853884,0.9599532488711748,1.0,0.5266690459036686,0.0,0.0,1.0,0.4375331616506203,0.6126391958960671,0.2663639622442416,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,209,0.6661771431893022,0.7701580748832307,0.8896500581984298,0.7821629360487049,0.8131286955762185,0.4045881577825074,0.0,0.0,0.0,0.1791704237791624,9.383992993285231e-05,0.2285198025164306,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,260,0.1087503013855682,0.381402705078358,0.4985113305648224,0.2397647010927739,0.1832972562792912,0.1230948841104959,0.2243054761977148,0.0,0.0,3.890256661360631e-06,2.0853317762856072e-05,0.0038693470272496,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,286,0.0686138008540183,0.2411365260864751,0.5477774263377297,0.6455855417679802,0.5267334766329689,0.6272796229869486,0.0,0.0,0.0,7.305823202427313e-06,9.383992993285231e-05,0.0812614633114698,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,293,0.2940377344243824,0.4303123686779972,0.6983643126601963,0.6175718566950273,0.3982137102805717,0.6195492620509422,0.2830419976443053,0.366975813177339,0.4430998751828208,0.0041374709949946,6.255995328856821e-05,0.0012889613404567,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
577,577,0.547743531352983,0.6868372994088408,0.7899334211649233,0.6205719526803474,0.635469787297482,0.3606614915154369,0.3972996726178786,0.316206238578358,0.2421995304232581,0.0148668496174773,2.0853317762856072e-05,0.5155981275047935,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
