node_id,feat
1,"0.26256761060272465, 0.2276971822667382"
7843,"0.38613365127981214, 0.4387997721466673"
11537,"0.3828647757402747, 0.4902647928694628"
37157,"0.2276971822667382, 0.2965293266814928"
50377,"0.15179812151115882, 0.1202971651375501"
51728,"0.15179812151115882, 0.0"
264914,"0.1202971651375501, 0.0"
271424,"0.15179812151115882, 0.0"
2,"0.30359624302231764, 0.15179812151115882"
21954,"0.15179812151115882, 0.0"
24556,"0.15179812151115882, 0.0"
43260,"0.15179812151115882, 0.3333727669292751"
3,"0.338466671358304, 0.1202971651375501"
293,"0.28897466254730436, 0.614232665918825"
6939,"0.6448274168563041, 1.0"
4,"0.2808598989895499, 0.07589906075557941"
55846,"0.1202971651375501, 0.0"
8,"0.17623216154394267, 0.07589906075557941"
9,"0.2405943302751002, 0.15179812151115882"
35104,"0.3333727669292751, 0.41682649181904285"
328075,"0.1202971651375501, 0.0"
10,"0.17623216154394267, 0.07589906075557941"
131401,"0.1202971651375501, 0.0"
12,"0.19619622589312952, 0.1202971651375501"
54965,"0.07589906075557941, 0.0"
394666,"0.17623216154394267, 0.0"
18,"0.1202971651375501, 0.07589906075557941"
276,"0.1202971651375501, 0.2720952866487089"
24,"0.1202971651375501, 0.21307560179172497"
2153,"0.2405943302751002, 0.38613365127981214"
7575,"0.5260364542646482, 0.7654274845343401"
10343,"0.1202971651375501, 0.0"
22388,"0.2405943302751002, 0.15179812151115882"
33,"0.07589906075557941, 0.1202971651375501"
13979,"0.26256761060272465, 0.19619622589312952"
54680,"0.1202971651375501, 0.0"
34,"0.17623216154394267, 0.07589906075557941"
35,"0.07589906075557941, 0.07589906075557941"
5691,"0.07589906075557941, 0.0"
42,"0.21307560179172497, 0.6366426335592607"
187,"0.07589906075557941, 0.0"
513,"0.2405943302751002, 0.5009271857906896"
553,"0.19619622589312952, 0.668957714118565"
559,"0.2276971822667382, 0.7912640952345525"
680,"0.21307560179172497, 0.5661638536250422"
701,"0.19619622589312952, 0.7944040723500703"
715,"0.15179812151115882, 0.15179812151115882"
852,"0.28897466254730436, 0.6312838053013623"
1103,"0.25213122229952206, 0.6905320898208316"
1140,"0.21307560179172497, 0.6398634304158916"
1239,"0.2965293266814928, 0.8379996018764437"
1267,"0.2965293266814928, 0.7883590087444426"
1273,"0.31023459052423275, 0.6200896340529972"
1280,"0.25213122229952206, 0.5064308164173622"
1403,"0.26256761060272465, 0.6019355150202275"
1764,"0.30359624302231764, 0.737562513237378"
1798,"0.2808598989895499, 0.6385864573598454"
1828,"0.40663316509968417, 0.8970192867334276"
1916,"0.2405943302751002, 0.7413960155379423"
2027,"0.2808598989895499, 0.5667842473444514"
2152,"0.25213122229952206, 0.5570877213057798"
2381,"0.2808598989895499, 0.5828653266436268"
2497,"0.338466671358304, 0.6316265260774191"
2613,"0.21307560179172497, 0.4770561248826794"
3130,"0.32241370842815203, 0.6223474294765795"
3170,"0.31023459052423275, 0.6093105249737378"
3214,"0.3648737233028838, 0.7022686158085908"
3216,"0.42158807672574505, 0.8258082552321302"
3223,"0.38613365127981214, 0.7470251466924623"
3257,"0.30359624302231764, 0.8334906423206399"
3280,"0.3433341037343988, 0.6841556873284697"
3292,"0.4092718276848545, 0.6329867820613592"
3303,"0.4902647928694628, 0.7699700323172864"
3320,"0.338466671358304, 0.7093916136863958"
3333,"0.3648737233028838, 0.621974348370995"
3399,"0.3333727669292751, 0.5636465198041525"
3491,"0.3828647757402747, 0.7220829888172264"
3741,"0.38613365127981214, 0.728483169845006"
4181,"0.4011570641271, 0.6215999917719708"
4608,"0.2965293266814928, 0.5636465198041525"
4637,"0.42836338384346473, 0.7243071519179798"
4739,"0.3164933910306796, 0.6664969544134055"
4777,"0.2808598989895499, 0.32803028305510146"
4826,"0.46829151254183843, 0.8007187474708547"
5396,"0.3333727669292751, 0.6299020936107679"
5413,"0.41923316448997827, 0.6181719108061277"
5645,"0.3433341037343988, 0.5801615053546235"
5650,"0.30359624302231764, 0.5844561420118675"
5713,"0.4825322258552636, 0.79768205158088"
6079,"0.37949530377789703, 0.6001255697038104"
6082,"0.31023459052423275, 0.4838595051190146"
6233,"0.43474378258401825, 0.6969351069107396"
6423,"0.25213122229952206, 0.46980187026081194"
6461,"0.4811886605502004, 0.8440647902376134"
6667,"0.4727614882254354, 0.6579602281039539"
6720,"0.3433341037343988, 0.5710312860011371"
6762,"0.38930776333566763, 0.6973113931867428"
6830,"0.4367905561682297, 0.6674879041499382"
6894,"0.35246432308788533, 0.5543500987513251"
6908,"0.3760188467571208, 0.4536699320668252"
7473,"0.42615120358344993, 0.6299020936107679"
7489,"0.4039293438106809, 0.6088901820446514"
7500,"0.3479943474042883, 0.3953926175012293"
7545,"0.46980187026081194, 0.739240200247195"
7660,"0.41923316448997827, 0.6138308335465503"
7713,"0.5940276791433812, 0.8626931803065351"
7922,"0.41184839829299374, 0.5403209409940312"
8218,"0.5136988332712041, 0.7730224724393985"
8220,"0.5773892256710427, 0.8230434227004929"
8283,"0.4483274481926516, 0.6359869477763295"
8298,"0.4501373935090688, 0.6849996159649598"
8426,"0.528696484631828, 0.72890621943199"
8447,"0.5126896169238092, 0.7711246918590128"
8455,"0.49272555257462225, 0.6889217784677517"
8468,"0.41682649181904285, 0.5996683698806715"
8492,"0.4464870822069013, 0.7431400669462117"
8758,"0.4851708884404339, 0.6789507852228704"
8803,"0.28897466254730436, 0.46676003025473534"
8888,"0.4877474590485731, 0.6667455338585502"
8896,"0.4326580205007087, 0.6019355150202275"
8966,"0.558431286610843, 0.717494362189707"
9002,"0.5661638536250422, 0.7872081056719036"
9145,"0.5009271857906896, 0.6576908572459421"
9266,"0.3648737233028838, 0.5508289207993329"
9268,"0.5009271857906896, 0.7185823688556102"
9304,"0.5812510586084543, 0.7642108142552729"
9790,"0.25213122229952206, 0.5186099343212816"
9902,"0.4770561248826794, 0.6277962748924429"
10886,"0.2808598989895499, 0.32803028305510146"
11039,"0.41682649181904285, 0.5667842473444514"
11096,"0.3164933910306796, 0.46980187026081194"
11164,"0.4039293438106809, 0.5304346036429081"
11686,"0.41436573211388344, 0.5890944485488457"
11708,"0.2720952866487089, 0.43053175566178287"
12307,"0.30359624302231764, 0.4742118299393109"
12350,"0.4825322258552636, 0.5910944895137826"
12552,"0.5978202382696877, 0.7823932503376614"
12637,"0.559758565874594, 0.7402599906082682"
12779,"0.6343303473664224, 0.8191626462693842"
12859,"0.5321455634305439, 0.6513050643233357"
12874,"0.46676003025473534, 0.6359869477763295"
12956,"0.41436573211388344, 0.5964133769653759"
13004,"0.31023459052423275, 0.4092718276848545"
13030,"0.6208474169981598, 0.7223821671414865"
13237,"0.6484080911624004, 0.8252841953182017"
13760,"0.5577615646542214, 0.7159210707771169"
13786,"0.6632129953007937, 0.8168546882308366"
13830,"0.30359624302231764, 0.41184839829299374"
14061,"0.6389070994588316, 0.7671282828901399"
14315,"0.2965293266814928, 0.3828647757402747"
14537,"0.6080446241861233, 0.75350902271199"
14630,"0.5698345615368543, 0.6647409158854697"
14840,"0.6780587297917715, 0.9055317580425452"
14907,"0.5796126360421959, 0.6568787457466706"
15412,"0.5570877213057798, 0.6535686942586316"
15435,"0.5166718448140426, 0.5833981705104723"
15547,"0.6208474169981598, 0.7661310155363502"
15576,"0.5042624445990441, 0.6093105249737378"
15605,"0.6252871818390875, 0.771887755564156"
15623,"0.39239245178625903, 0.4915020851138553"
15692,"0.2720952866487089, 0.2808598989895499"
16347,"0.5166718448140426, 0.603273607417702"
16552,"0.6200896340529972, 0.7693881042945457"
16668,"0.17623216154394267, 0.1202971651375501"
16735,"0.49393550078127485, 0.7225314503255632"
18106,"0.6938773389762175, 0.7970795785421024"
19151,"0.5692312586412105, 0.6177843026188746"
19281,"0.17623216154394267, 0.0"
19653,"0.5828653266436268, 0.6343303473664224"
19996,"0.4446152554542171, 0.4851708884404339"
20080,"0.4553943645334764, 0.5704345586466189"
20612,"0.35246432308788533, 0.4387997721466673"
20764,"0.6557864753574271, 0.7955587318917966"
20811,"0.637942342569825, 0.7400059320289593"
20912,"0.47845103799574573, 0.6436073574535078"
20932,"0.6616634524817986, 0.7660307874299839"
21232,"0.3828647757402747, 0.4446152554542171"
21320,"0.45709206053349255, 0.4890133598361878"
21412,"0.5529551856382589, 0.5920809754522446"
21556,"0.15179812151115882, 0.0"
22652,"0.5610699491960133, 0.6343303473664224"
23367,"0.551542273150029, 0.5338301997133805"
23473,"0.5136988332712041, 0.5205143162097965"
23673,"0.5817917964903627, 0.644219086410775"
24482,"0.7835956065593869, 0.8839970162698407"
24516,"0.6238271708949034, 0.7073543605298355"
24961,"0.6054680535779841, 0.6652455213801305"
25091,"0.7179619751362011, 0.8314683885145212"
25152,"0.5321455634305439, 0.5156897826387794"
25160,"0.605032668517057, 0.658228937928521"
25220,"0.5900990353983621, 0.6267279815549124"
25885,"0.528696484631828, 0.5126896169238092"
28329,"0.4770561248826794, 0.6101464007774775"
28716,"0.5728022011269575, 0.667980036207824"
28792,"0.5304346036429081, 0.559758565874594"
29075,"0.6274413339056084, 0.6845784646820955"
29140,"0.594508995076861, 0.6170049456024058"
29222,"0.5085570812562881, 0.5745449307276741"
29467,"0.6113883709754565, 0.6398634304158916"
29504,"0.43053175566178287, 0.4501373935090688"
29680,"0.4742118299393109, 0.5536548634090357"
29691,"0.43053175566178287, 0.4756432123944497"
29791,"0.6177843026188746, 0.5817917964903627"
30132,"0.5543500987513251, 0.5636465198041525"
30286,"0.49513222524555767, 0.4838595051190146"
30844,"0.6312838053013623, 0.6961786327548313"
31019,"0.7002760195764947, 0.7587765328081163"
31025,"0.5762603579557365, 0.5801615053546235"
31027,"0.4727614882254354, 0.5968843419863009"
31133,"0.6780587297917715, 0.7783470364708743"
31742,"0.547190739012388, 0.546448368721"
32097,"0.4864667520681754, 0.47982840456626025"
32653,"0.46041047201531793, 0.6619232371791208"
33891,"0.71254169431484, 0.7508922939640527"
34019,"0.6245596097365942, 0.6366426335592607"
34177,"0.6212243509282396, 0.6274413339056084"
34224,"0.7461869858040998, 0.8050864079377809"
34288,"0.7241602716832666, 0.7596303320544149"
34549,"0.6448274168563041, 0.650155455878724"
34800,"0.42615120358344993, 0.43053175566178287"
34854,"0.6170049456024058, 0.6200896340529972"
34927,"0.6961786327548313, 0.72890621943199"
35266,"0.5522510083010634, 0.5321455634305439"
35280,"0.7952520112470991, 0.8727896846372292"
35360,"0.6045955453874073, 0.5751197309901641"
35369,"0.5493881210835081, 0.578506574127094"
35426,"0.4890133598361878, 0.4519179075127002"
35598,"0.671126085936883, 0.7287653844305044"
35600,"0.4915020851138553, 0.4553943645334764"
35710,"0.5973532900202294, 0.5590969372842174"
36351,"0.7818738855763505, 0.7709330921626026"
36924,"0.31023459052423275, 0.21307560179172497"
37100,"0.6713643867895003, 0.7123781405897945"
37239,"0.6454323863429994, 0.7105627392730495"
37271,"0.5577615646542214, 0.5610699491960133"
37468,"0.73532909882816, 0.7702598406873239"
37497,"0.7254751544437671, 0.8475012902164653"
37640,"0.6616634524817986, 0.6988037392646441"
37662,"0.6694432989434336, 0.7071828660569417"
37680,"0.6281500690566428, 0.659031133447223"
37721,"0.6885154729976372, 0.7036953356480223"
37989,"0.3953926175012293, 0.38613365127981214"
38001,"0.6274413339056084, 0.6417513944022002"
38136,"0.5885886776793885, 0.5233101923159578"
38880,"0.7538457708971105, 0.771887755564156"
39120,"0.7835101604383439, 0.8118897881741161"
39122,"0.735196292021631, 0.7505463246444546"
39351,"0.7536213872149854, 0.7747028000202235"
39533,"0.6150319336906099, 0.6460340318047546"
39737,"0.7080376650783141, 0.7102294081220017"
40630,"0.5321455634305439, 0.45709206053349255"
40934,"0.5550409477215684, 0.44271087356570216"
40994,"0.5661638536250422, 0.5550409477215684"
41095,"0.6411256829935221, 0.6757962691700309"
41157,"0.5223861429624806, 0.42836338384346473"
41327,"0.7418971569095208, 0.789011276934153"
41666,"0.4890133598361878, 0.4446152554542171"
41695,"0.6507317687804581, 0.6267279815549124"
41805,"0.7497347863718898, 0.7511223343817699"
41811,"0.658228937928521, 0.6319681775201436"
42473,"0.6684699663252014, 0.6614030499843766"
42541,"0.5905978936578261, 0.5403209409940312"
42708,"0.5610699491960133, 0.5031619408778248"
45352,"0.7551825020273926, 0.730304695638253"
46450,"0.4877474590485731, 0.45709206053349255"
47147,"0.7376924826277824, 0.7013673827493919"
47251,"0.2720952866487089, 0.15179812151115882"
47692,"0.7207264776118835, 0.6682252752768739"
47787,"0.6847892428002308, 0.6484080911624004"
47957,"0.7479752541593073, 0.6963682418040448"
48166,"0.678282425882972, 0.6260099514504697"
48362,"0.7630835313144215, 0.716710542102926"
48550,"0.4387997721466673, 0.3567589597451293"
48821,"0.4367905561682297, 0.3608914954126503"
48858,"0.6270852386371106, 0.5796126360421959"
48919,"0.6891243672370302, 0.6181719108061277"
49102,"0.4464870822069013, 0.46676003025473534"
49420,"0.4620327120353916, 0.4464870822069013"
49432,"0.2720952866487089, 0.19619622589312952"
49434,"0.505351997852875, 0.41184839829299374"
49605,"0.7459463281279751, 0.6956078276469885"
49709,"0.5704345586466189, 0.576826246546269"
49788,"0.4092718276848545, 0.3760188467571208"
50058,"0.616613177032221, 0.5146988329022466"
50300,"0.6475238398007513, 0.5338301997133805"
50304,"0.6495760936881876, 0.5486605489810148"
50628,"0.528696484631828, 0.41923316448997827"
50629,"0.7587765328081163, 0.6963682418040448"
50763,"0.6162200017496106, 0.4890133598361878"
50877,"0.7093916136863958, 0.6764799292382737"
51184,"0.7579160238722292, 0.6847892428002308"
51185,"0.8333822809079764, 0.8567267676869295"
51531,"0.40663316509968417, 0.2720952866487089"
51786,"0.4519179075127002, 0.32803028305510146"
51873,"0.4742118299393109, 0.3433341037343988"
52304,"0.21307560179172497, 0.0"
52306,"0.17623216154394267, 0.0"
52320,"0.7427686730393723, 0.7176504551577796"
52376,"0.3164933910306796, 0.3687161946986377"
53828,"0.6809317292726365, 0.5493881210835081"
55176,"0.39831276918373143, 0.2405943302751002"
55222,"0.4483274481926516, 0.25213122229952206"
55329,"0.7441243360324534, 0.6557864753574271"
55720,"0.5156897826387794, 0.39831276918373143"
56655,"0.6414389856351896, 0.5085570812562881"
56665,"0.7045776869055803, 0.5745449307276741"
57695,"0.6687141117966028, 0.6088901820446514"
57777,"0.6363152814512999, 0.4756432123944497"
58057,"0.6860454615330568, 0.5649124205917673"
58299,"0.6694432989434336, 0.546448368721"
58308,"0.5106428433395976, 0.32241370842815203"
58453,"0.6489936497693781, 0.59828520371806"
58511,"0.8292956035413356, 0.7603719840333015"
58952,"0.6339959984087542, 0.5269303302372342"
59414,"0.4811886605502004, 0.3433341037343988"
59605,"0.7536213872149854, 0.6389070994588316"
59890,"0.7694853073178488, 0.657420822094143"
59891,"0.45709206053349255, 0.2720952866487089"
60171,"0.5269303302372342, 0.46041047201531793"
60501,"0.7636998511322907, 0.6071924860446353"
61218,"0.4446152554542171, 0.28897466254730436"
61292,"0.4387997721466673, 0.31023459052423275"
61438,"0.19619622589312952, 0.07589906075557941"
61568,"0.840922488748189, 0.8251089498309798"
61955,"0.8025298902916169, 0.716710542102926"
62167,"0.6495760936881876, 0.4367905561682297"
62513,"0.5338301997133805, 0.4092718276848545"
63920,"0.6252871818390875, 0.5812510586084543"
63927,"0.8179211454579557, 0.6897298943021297"
63956,"0.6454323863429994, 0.59828520371806"
64475,"0.6417513944022002, 0.41923316448997827"
131477,"0.5136988332712041, 0.28897466254730436"
132337,"0.6879031739265361, 0.551542273150029"
135069,"0.3953926175012293, 0.4326580205007087"
135895,"0.6162200017496106, 0.4367905561682297"
136557,"0.6587643873992062, 0.49393550078127485"
137409,"0.8220860465596792, 0.6706479227379114"
139589,"0.25213122229952206, 0.21307560179172497"
140627,"0.7205747115466178, 0.41923316448997827"
140984,"0.6818007750927029, 0.4620327120353916"
196621,"0.4587638364958541, 0.25213122229952206"
198385,"0.6611420267414391, 0.4464870822069013"
198507,"0.5623658128237548, 0.2965293266814928"
199524,"0.8464960446122237, 0.6956078276469885"
199938,"0.6319681775201436, 0.3567589597451293"
201054,"0.39239245178625903, 0.6445236740857812"
202032,"0.6197087668914091, 0.4536699320668252"
202365,"0.5935442381878542, 0.49979246891544715"
204708,"0.5338301997133805, 0.17623216154394267"
205112,"0.6487012618825367, 0.3479943474042883"
205206,"0.5486605489810148, 0.1202971651375501"
206313,"0.6595626839986263, 0.2965293266814928"
206356,"0.6339959984087542, 0.2808598989895499"
206499,"0.32803028305510146, 0.2276971822667382"
