node_id,feat
1,"17, 17"
7843,"87, 87"
11537,"119, 119"
37157,"21, 21"
50377,"5, 5"
51728,"3, 3"
264914,"2, 2"
271424,"3, 3"
2,"18, 18"
21954,"3, 3"
24556,"3, 3"
43260,"23, 23"
3,"23, 23"
293,"285, 285"
6939,"9610, 9610"
4,"13, 13"
55846,"2, 2"
8,"5, 5"
9,"11, 11"
35104,"64, 64"
328075,"2, 2"
10,"5, 5"
131401,"2, 2"
12,"7, 7"
54965,"1, 1"
394666,"4, 4"
18,"3, 3"
276,"13, 13"
24,"8, 8"
2153,"41, 41"
7575,"1206, 1206"
10343,"2, 2"
22388,"11, 11"
33,"3, 3"
13979,"15, 15"
54680,"2, 2"
34,"5, 5"
35,"2, 2"
5691,"1, 1"
42,"340, 340"
187,"1, 1"
513,"104, 104"
553,"454, 454"
559,"1381, 1381"
680,"181, 181"
701,"1419, 1419"
715,"6, 6"
852,"331, 331"
1103,"556, 556"
1140,"350, 350"
1239,"2120, 2120"
1267,"1352, 1352"
1273,"303, 303"
1280,"110, 110"
1403,"253, 253"
1764,"856, 856"
1798,"352, 352"
1828,"3651, 3651"
1916,"879, 879"
2027,"188, 188"
2152,"170, 170"
2381,"216, 216"
2497,"340, 340"
2613,"83, 83"
3130,"311, 311"
3170,"276, 276"
3214,"636, 636"
3216,"1930, 1930"
3223,"950, 950"
3257,"2036, 2036"
3280,"538, 538"
3292,"364, 364"
3303,"1218, 1218"
3320,"671, 671"
3333,"319, 319"
3399,"191, 191"
3491,"762, 762"
3741,"807, 807"
4181,"329, 329"
4608,"185, 185"
4637,"794, 794"
4739,"456, 456"
4777,"31, 31"
4826,"1569, 1569"
5396,"334, 334"
5413,"327, 327"
5645,"221, 221"
5650,"222, 222"
5713,"1538, 1538"
6079,"270, 270"
6082,"98, 98"
6233,"632, 632"
6423,"81, 81"
6461,"2306, 2306"
6667,"480, 480"
6720,"205, 205"
6762,"616, 616"
6830,"496, 496"
6894,"181, 181"
6908,"92, 92"
7473,"362, 362"
7489,"298, 298"
7500,"59, 59"
7545,"926, 926"
7660,"316, 316"
7713,"2865, 2865"
7922,"180, 180"
8218,"1271, 1271"
8220,"2031, 2031"
8283,"391, 391"
8298,"580, 580"
8426,"901, 901"
8447,"1250, 1250"
8455,"628, 628"
8468,"282, 282"
8492,"943, 943"
8758,"575, 575"
8803,"83, 83"
8888,"525, 525"
8896,"294, 294"
8966,"863, 863"
9002,"1499, 1499"
9145,"501, 501"
9266,"179, 179"
9268,"803, 803"
9304,"1274, 1274"
9790,"122, 122"
9902,"385, 385"
