src_id,dst_id
8968,9002
34367,43061
4826,7552
1103,41000
58682,64037
266595,61666
12741,198112
25151,56655
147039,48292
174,5610
37922,6939
1239,39817
31133,49478
206725,35132
23258,6453
7562,9569
212360,56662
1218,8220
23229,6327
16826,2495
20804,34903
202538,60159
145908,38255
3356,43073
55685,63506
11688,33660
24400,63580
133555,20473
1126,9002
12389,35021
27163,32787
135824,9498
48362,50533
21473,34854
262659,268794
14743,25985
262531,61633
132602,141448
31083,62361
11432,269678
12301,200900
23498,33130
4826,56294
30844,37053
10138,3491
197219,48858
198345,33922
267205,271284
37678,8714
10023,138572
22566,263157
13485,209
327947,328842
269827,8048
24115,54113
23233,7018
205682,39927
41107,48362
6663,6939
43727,44604
1299,39326
30998,37662
174,50605
17693,2516
174,53661
43100,61026
3356,36555
143989,38255
35181,6660
33111,7018
265892,28329
202590,56595
36265,46887
15830,21412
16866,397766
48467,49673
15895,204256
39566,50607
22792,3356
12387,197964
50304,50858
38665,4766
3356,8455
10099,4058
203329,31025
12779,5482
202650,31376
204146,43623
262760,50673
34549,48918
2119,44684
33891,35236
39704,4657
38693,4766
20764,47481
143840,38255
133737,9519
2119,50629
53981,6939
1764,5413
197133,20562
3491,45597
267229,269096
399242,6939
1103,8553
1239,48564
39307,43139
17639,58453
31133,56627
206499,31396
136974,{136974}
24961,57928
14611,3356
135523,45446
143598,38255
34019,50837
1257,1273
204818,48809
138734,4755
209,33680
12859,25369
24864,9002
1503,1541
25454,51141
138956,4775
145773,38255
201811,48362
10282,13030
30084,6461
39288,43962
14265,18687
19275,396300
199554,9002
12912,49258
39582,6453
395449,6327
24724,6461
18351,24522
30781,7342
174,205919
15281,7018
43561,47928
204818,43100
212473,44234
23889,34549
209833,37721
16086,49422
31769,50629
48559,49420
33885,48994
50149,6939
3356,40222
12676,12779
265076,268524
263009,269208
30781,6697
46738,6461
12741,49300
31133,47764
12200,3216
37282,9304
174,26677
212508,61244
37521,37721
140428,23947
12389,15454
17639,55805
206767,43226
28996,50004
43102,8331
12735,212829
174,24940
205148,61955
174,62759
15830,199396
25753,7018
14371,23036
2914,30848
174,208959
140905,64073
3261,3303
12779,29104
205062,50477
63465,6461
29668,6461
15964,36912
3356,36339
3320,59971
23764,4134
19366,393605
6702,6939
15805,196992
42781,51080
204455,35614
133676,140127
3356,397154
206309,31122
211945,24961
206264,50629
3356,397314
2027,43100
144088,38255
263935,271736
43256,44684
20940,4826
2914,42804
35432,51228
1798,32097
49732,8359
1299,47541
148968,59204
208293,212648
262895,263444
143919,38255
328107,9304
33657,46187
44684,47447
35753,57968
50680,6663
33469,3356
10122,34019
174,201473
38283,58536
134061,6939
1299,205845
42020,48418
13249,211967
199181,50629
18840,6939
33844,35237
15830,197981
17719,4804
264574,267472
16334,174
11872,3356
11733,33667
174,395921
264543,267522
51402,56662
4637,58453
12252,28513
12389,202778
198507,48461
197915,30781
174,398823
2914,46573
16185,2119
4755,55510
30395,33491
199298,20562
36369,50131
209650,37721
197741,8262
267460,270551
268508,6939
29884,3356
22773,394917
328209,328474
4755,9836
38001,9002
200292,59701
25251,62459
3255,39822
138380,4766
15994,6939
3255,48858
42861,8821
211613,31500
55720,6421
197453,208165
20485,39927
23498,46861
32799,63306
20783,56662
262462,264525
270273,6939
23005,54271
30844,37667
33891,45899
23954,4800
1239,31263
17809,9416
146354,38255
21032,9145
174,22552
41327,59507
1403,18997
12741,197656
202179,21183
27281,34854
29413,48858
45250,4635
30844,328474
29632,42707
28329,3549
13237,41264
24449,9304
23465,395810
14840,269522
3223,35710
135512,9443
51703,9121
58057,59570
18948,46887
29504,62011
174,399451
25818,58299
2119,42831
28760,34019
262186,271963
141592,59148
35280,52688
15830,25279
136334,146872
131195,9255
62631,7015
28493,8151
399392,400189
54004,54309
146066,38255
48362,57724
213055,25003
3257,54778
210073,48641
27238,5650
1103,8932
2914,400039
265383,267951
21705,3356
207790,211645
29838,44684
3257,35574
209,394046
20374,22911
3356,52863
25713,3356
134688,38195
13150,30781
198507,24990
203161,29119
145740,38255
10232,9304
31261,60826
8151,"{278,3548,8140,18449,28406,28493}"
11537,293
3333,45474
17840,4766
208189,50300
21367,47976
207371,8866
199103,9002
17639,59545
36191,7795
4826,6660
44684,9009
31133,44941
269399,52696
37721,4761
140731,140984
54113,852
30781,32590
268768,28260
145441,38255
101,852
271052,28173
141984,23947
3223,61094
10242,11708
3356,394599
51048,6939
6461,8674
37721,63199
327713,37100
38001,4007
15687,49309
206324,30781
44133,50351
1239,42201
59609,6700
56403,8218
199484,212369
20928,35710
13335,43570
4766,9870
20282,46887
38264,45814
1103,9116
39533,41047
6507,7575
197756,47440
37406,37662
20473,212034
61109,8412
49628,57768
1273,16931
100,10580
14919,33650
199675,702
25905,34927
10030,17639
196948,34073
3754,3756
48858,5416
36351,852
206129,41313
33287,54291
29632,8587
269589,271260
212034,212508
139410,38320
6461,7276
3356,51776
28788,50304
210529,44103
36222,6939
4771,55759
12773,31113
26229,3356
20473,209586
2611,9002
31025,49605
205943,30844
3216,50166
397305,5056
33438,38001
174,395924
31510,8732
62224,6461
265119,7738
132440,4755
31229,50629
20485,35624
2914,53831
12741,196855
208796,8641
202486,6939
20860,28757
174,7341
263880,270983
39747,44383
3209,58234
132418,50624
23764,64050
42148,57209
46713,7018
58601,61292
48646,52112
6565,6939
18309,3786
174,51630
12301,211595
23627,6939
15645,8953
199181,50300
6939,8469
137364,138884
201079,25145
48315,6696
44684,60198
28313,3549
265824,52361
44794,62303
400088,701
35280,54198
12488,58057
26818,600
3356,33630
44889,58125
30844,8473
398192,7018
2687,4635
17389,852
32708,703
131477,50245
50629,59439
17819,18385
14230,7016
24589,9029
145467,38255
11656,209
15412,8452
37049,37271
24875,50673
262722,61696
23314,26151
12389,35389
201199,8220
4800,48362
31025,52551
39175,48362
271907,61461
19558,6181
42909,760
206934,44684
12779,22381
203536,41327
206934,50629
201757,60651
34863,50300
14128,23005
27268,7018
144210,38255
54920,8001
28663,37721
209164,56662
200434,205270
15605,41327
269858,270021
20632,25185
13335,64231
1103,147028
13335,55532
28610,6939
12731,2119
41327,50313
20676,25291
18001,38229
131183,58682
174,20252
15570,395424
15412,64098
39392,49115
34059,5483
208142,49166
399013,6461
3356,4867
23352,7922
12486,6774
16625,18001
24961,34936
3462,6453
3356,47388
30,7018
12182,30443
30261,6461
19833,3356
20596,30781
2914,30971
53667,60751
20115,46594
13237,13280
138437,58715
23972,9318
174,49824
34854,8551
19331,3356
2609,327934
12188,40241
174,393397
3257,51043
198014,35199
132844,17639
15830,30081
49673,61976
23225,27446
34854,48152
1239,57910
12714,51685
11479,6461
143557,38255
4134,58466
197921,8376
174,36100
270714,271253
263185,271862
46864,7018
22911,3257
265147,268531
138840,149350
174,46887
46395,46887
19336,7018
12399,50304
2603,"{1653,39590,64530,64540,64541,65001,65002,65003,65004,65005,65006,65007,65008,65009,65010,65430}"
16110,208331
25504,8489
267474,272501
34549,35266
39122,56655
205725,34984
35805,56966
136038,3786
14840,31025
30121,8121
14265,27636
12986,47415
44103,61044
36726,7018
393662,7018
1273,30722
29119,62332
59756,60045
198371,44306
262448,6939
136262,141731
45139,4755
268333,53237
20228,6461
207264,21277
60375,9002
21367,25478
22927,269892
56662,8283
15694,28893
61145,6939
3257,47754
206519,42020
40042,46887
